iteration,timestamp,symbols,period,interval,num_trades,win_rate,total_return_pct,avg_rr,max_drawdown_pct,composite_score,is_best,strategy_file
1,2026-03-17T20:44:03.467769+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,True,iter_001_score_3.1856.py
1,2026-03-17T20:44:55.972330+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,True,iter_001_score_3.1856.py
2,2026-03-17T20:45:07.937752+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185627,True,iter_002_score_3.1856.py
3,2026-03-17T20:45:19.864300+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_003_score_3.1856.py
4,2026-03-17T20:45:31.356102+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185627,False,iter_004_score_3.1856.py
5,2026-03-17T20:45:42.676603+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_005_score_3.1856.py
6,2026-03-17T20:45:54.313740+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_006_score_3.1856.py
7,2026-03-17T20:46:05.605865+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_007_score_3.1856.py
8,2026-03-17T20:46:17.510362+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_008_score_3.1856.py
9,2026-03-17T20:46:29.153771+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185625,False,iter_009_score_3.1856.py
10,2026-03-17T20:46:40.986287+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185627,False,iter_010_score_3.1856.py
11,2026-03-17T20:46:52.879996+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_011_score_3.1856.py
12,2026-03-17T20:47:04.300931+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_012_score_3.1856.py
13,2026-03-17T20:47:15.690951+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_013_score_3.1856.py
14,2026-03-17T20:47:27.390717+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_014_score_3.1856.py
15,2026-03-17T20:47:39.162263+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_015_score_3.1856.py
16,2026-03-17T20:47:51.015268+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_016_score_3.1856.py
17,2026-03-17T20:48:04.886204+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_017_score_3.1856.py
18,2026-03-17T20:48:16.361499+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_018_score_3.1856.py
19,2026-03-17T20:48:27.824764+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_019_score_3.1856.py
20,2026-03-17T20:48:39.276231+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185627,False,iter_020_score_3.1856.py
1,2026-03-17T20:49:25.785592+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185627,True,iter_001_score_3.1856.py
2,2026-03-17T20:49:37.165022+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185627,False,iter_002_score_3.1856.py
3,2026-03-17T20:49:48.608549+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_003_score_3.1856.py
4,2026-03-17T20:49:59.915976+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_004_score_3.1856.py
5,2026-03-17T20:50:12.089646+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_005_score_3.1856.py
6,2026-03-17T20:50:23.972600+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_006_score_3.1856.py
7,2026-03-17T20:50:35.336749+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_007_score_3.1856.py
8,2026-03-17T20:50:46.825068+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_008_score_3.1856.py
9,2026-03-17T20:50:58.322503+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185627,False,iter_009_score_3.1856.py
10,2026-03-17T20:51:10.237688+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185626,False,iter_010_score_3.1856.py
11,2026-03-17T20:51:22.265894+00:00,TSLA NVDA AMZN,5y,1d,42,33.33,318.56,5.485,60.98,3.185627,False,iter_011_score_3.1856.py
