trade_no,entry_date,exit_date,days_held,entry_price,exit_price,pnl_pct,pnl_usd,result,cumulative_pnl_usd,drawdown_from_peak_pct
1,2021-10-19,2021-11-03,11,171.71,165.45,-3.65,-364.82,LOSS,-364.82,0
2,2021-11-04,2021-12-06,21,168.5,169.65,0.68,68.25,WIN,-296.57,0
3,2022-02-10,2022-02-23,8,158.35,151.65,-4.23,-423.08,LOSS,-719.65,0
4,2022-03-18,2022-04-12,17,156.81,153.69,-1.99,-198.99,LOSS,-918.65,0
5,2022-06-07,2022-06-13,4,122.01,104.19,-14.61,-1460.54,LOSS,-2379.18,0
6,2022-07-08,2022-07-13,3,114.6,107.03,-6.61,-660.56,LOSS,-3039.74,0
7,2022-07-19,2022-08-30,30,115.7,131.25,13.44,1343.99,WIN,-1695.75,0
8,2022-10-26,2022-10-27,1,116.0,113.92,-1.79,-179.31,LOSS,-1875.06,0
9,2023-01-12,2023-02-22,27,96.93,95.1,-1.89,-188.8,LOSS,-2063.86,0
10,2023-03-17,2023-08-28,112,99.79,133.78,34.06,3406.15,WIN,1342.3,0.0
11,2024-01-10,2024-04-22,70,152.06,176.94,16.36,1636.2,WIN,2978.49,0.0
12,2024-10-11,2025-01-14,63,186.63,220.44,18.12,1811.61,WIN,4790.1,0.0
13,2025-01-21,2025-02-19,20,228.9,225.52,-1.48,-147.66,LOSS,4642.44,1.48
14,2025-08-15,2025-09-24,27,232.58,224.15,-3.62,-362.46,LOSS,4279.98,5.1
15,2025-12-26,2026-02-06,28,232.04,202.7,-12.64,-1264.44,LOSS,3015.54,17.75
SUMMARY,,,29.5,,,30.15,3015.54,5W / 10L  WR=33.3%,3015.54,17.75
