trade_no,entry_date,exit_date,days_held,entry_price,exit_price,pnl_pct,pnl_usd,result,cumulative_pnl_usd,drawdown_from_peak_pct
1,2021-10-19,2021-11-03,11,171.71,165.45,-3.65,-364.82,LOSS,-364.82,0
2,2022-03-18,2022-04-12,17,156.81,153.69,-1.99,-198.99,LOSS,-563.82,0
3,2022-06-07,2022-06-13,4,122.01,104.19,-14.61,-1460.54,LOSS,-2024.35,0
4,2022-07-08,2022-07-13,3,114.6,107.03,-6.61,-660.56,LOSS,-2684.91,0
5,2022-07-19,2022-08-30,30,115.7,131.25,13.44,1343.99,WIN,-1340.92,0
6,2022-10-26,2022-10-27,1,116.0,113.92,-1.79,-179.31,LOSS,-1520.23,0
7,2023-01-12,2023-02-22,27,96.93,95.1,-1.89,-188.8,LOSS,-1709.02,0
8,2023-03-17,2023-08-28,112,99.79,133.78,34.06,3406.15,WIN,1697.13,0.0
9,2025-08-15,2025-09-24,27,232.58,224.15,-3.62,-362.46,LOSS,1334.67,3.62
SUMMARY,,,25.8,,,13.34,1334.66,2W / 7L  WR=22.2%,1334.67,3.62
