trade_no,entry_date,exit_date,days_held,entry_price,exit_price,pnl_pct,pnl_usd,result,cumulative_pnl_usd,drawdown_from_peak_pct
1,2022-03-22,2022-04-27,25,310.0,299.53,-3.38,-337.85,LOSS,-337.85,0
2,2022-07-11,2022-09-01,38,252.1,272.58,8.12,812.23,WIN,474.38,0.0
3,2022-09-12,2022-09-27,11,300.72,283.84,-5.61,-561.32,LOSS,-86.94,5.61
4,2023-01-25,2023-03-10,31,141.91,175.13,23.41,2340.92,WIN,2253.98,0.0
5,2023-03-24,2023-04-11,11,191.65,186.69,-2.59,-258.8,LOSS,1995.18,2.59
6,2023-05-19,2023-08-02,50,177.17,255.57,44.25,4425.13,WIN,6420.31,0.0
7,2023-10-06,2023-10-19,9,253.98,225.95,-11.04,-1103.63,LOSS,5316.68,11.04
8,2024-04-30,2024-06-12,30,186.98,171.12,-8.48,-848.22,LOSS,4468.46,19.52
9,2024-06-14,2024-08-02,33,185.8,214.88,15.65,1565.12,WIN,6033.58,3.87
10,2024-08-22,2024-08-23,1,223.82,214.46,-4.18,-418.19,LOSS,5615.39,8.05
11,2024-08-26,2024-08-28,2,218.75,209.72,-4.13,-412.8,LOSS,5202.59,12.18
12,2024-09-06,2024-10-14,26,232.6,220.13,-5.36,-536.11,LOSS,4666.48,17.54
13,2024-10-28,2024-11-05,6,270.0,247.34,-8.39,-839.26,LOSS,3827.22,25.93
14,2025-01-16,2025-01-29,8,423.49,395.21,-6.68,-667.78,LOSS,3159.43,32.61
15,2025-04-28,2025-06-09,29,288.98,285.96,-1.05,-104.51,LOSS,3054.93,33.65
16,2025-06-17,2025-06-18,1,326.09,317.31,-2.69,-269.25,LOSS,2785.68,36.35
17,2025-06-24,2025-07-01,5,356.17,298.46,-16.2,-1620.29,LOSS,1165.38,52.55
18,2025-07-21,2025-08-01,9,334.4,306.21,-8.43,-843.0,LOSS,322.38,60.98
19,2025-08-11,2025-11-13,67,335.0,423.13,26.31,2630.75,WIN,2953.13,34.67
SUMMARY,,,20.6,,,29.53,2953.14,5W / 14L  WR=26.3%,2953.13,60.98
