trade_no,entry_date,exit_date,days_held,entry_price,exit_price,pnl_pct,pnl_usd,result,cumulative_pnl_usd,drawdown_from_peak_pct
1,2022-03-22,2022-04-27,25,310.0,299.53,-3.38,-337.85,LOSS,-337.85,0
2,2022-07-11,2022-09-01,38,252.1,272.58,8.12,812.23,WIN,474.38,0.0
3,2022-09-12,2022-09-27,11,300.72,283.84,-5.61,-561.32,LOSS,-86.94,5.61
4,2023-01-25,2023-03-10,31,141.91,175.13,23.41,2340.92,WIN,2253.98,0.0
5,2023-03-24,2023-04-11,11,191.65,186.69,-2.59,-258.8,LOSS,1995.18,2.59
6,2023-05-19,2023-08-02,50,177.17,255.57,44.25,4425.13,WIN,6420.31,0.0
7,2024-04-30,2024-06-12,30,186.98,171.12,-8.48,-848.22,LOSS,5572.09,8.48
8,2024-06-14,2024-08-02,33,185.8,214.88,15.65,1565.12,WIN,7137.21,0.0
9,2024-08-22,2024-08-23,1,223.82,214.46,-4.18,-418.19,LOSS,6719.02,4.18
10,2024-09-06,2024-10-14,26,232.6,220.13,-5.36,-536.11,LOSS,6182.91,9.54
11,2024-10-28,2025-01-13,51,270.0,383.21,41.93,4192.96,WIN,10375.87,0.0
12,2025-06-24,2025-07-02,6,356.17,312.63,-12.22,-1222.45,LOSS,9153.42,12.22
13,2025-07-21,2025-08-01,9,334.4,306.21,-8.43,-843.0,LOSS,8310.42,20.65
14,2025-08-11,2025-11-13,67,335.0,423.13,26.31,2630.75,WIN,10941.16,0.0
SUMMARY,,,27.8,,,109.42,10941.17,6W / 8L  WR=42.9%,10941.16,20.65
